user_id,novel_id,rating
1,1,4
1,3,4
1,6,4
1,47,5
1,50,5
1,70,3
1,101,5
1,110,4
1,151,5
1,157,5
1,163,5
1,216,5
1,223,3
1,231,5
1,235,4
1,260,5
1,296,3
1,316,3
1,333,5
1,349,4
1,356,4
1,362,5
1,367,4
1,423,3
1,441,4
1,457,5
1,480,4
1,500,3
1,527,5
1,543,4
1,552,4
1,553,5
1,590,4
1,592,4
1,593,4
1,596,5
1,608,5
1,648,3
1,661,5
1,673,3
1,733,4
1,736,3
1,780,3
1,804,4
1,919,5
1,923,5
1,940,5
1,943,4
1,954,5
1,1009,3
1,1023,5
1,1024,5
1,1025,5
1,1029,5
1,1030,3
1,1031,5
1,1032,5
1,1042,4
1,1049,5
1,1060,4
1,1073,5
1,1080,5
1,1089,5
1,1090,4
1,1092,5
1,1097,5
1,1127,4
1,1136,5
1,1196,5
1,1197,5
1,1198,5
1,1206,5
1,1208,4
1,1210,5
1,1213,5
1,1214,4
1,1219,2
1,1220,5
1,1222,5
1,1224,5
1,1226,5
1,1240,5
1,1256,5
1,1258,3
1,1265,4
1,1270,5
1,1275,5
1,1278,5
1,1282,5
1,1291,5
1,1298,5
1,1348,4
1,1377,3
1,1396,3
1,1408,3
1,1445,3
1,1473,4
1,1500,4
1,1517,5
1,1552,4
1,1573,5
1,1580,3
1,1587,5
1,1617,5
1,1620,4
1,1625,5
1,1644,3
1,1676,3
1,1732,5
1,1777,4
1,1793,4
1,1804,5
1,1805,4
1,1920,4
1,1927,5
1,1954,5
1,1967,4
1,2000,4
1,2005,5
1,2012,4
1,2018,5
1,2028,4
1,2033,5
1,2046,4
1,2048,5
1,2054,4
1,2058,5
1,2078,5
1,2090,5
1,2093,3
1,2094,5
1,2096,4
1,2099,4
1,2105,4
1,2115,5
1,2116,5
1,2137,5
1,2139,5
1,2141,5
1,2143,4
1,2161,5
1,2174,4
1,2193,4
1,2253,2
1,2268,4
1,2273,4
1,2291,5
1,2329,5
1,2338,2
1,2353,5
1,2366,4
1,2387,5
1,2389,2
1,2395,5
1,2406,4
1,2414,3
1,2427,5
1,2450,4
1,2459,5
1,2470,5
1,2478,4
1,2492,4
1,2502,5
1,2528,3
1,2529,5
1,2542,5
1,2571,5
1,2580,5
1,2596,5
1,2616,4
1,2617,2
1,2628,4
1,2640,4
1,2641,5
1,2644,4
1,2648,4
1,2654,5
1,2657,3
1,2692,5
1,2700,5
1,2716,5
1,2761,5
1,2797,4
1,2826,4
1,2858,5
1,2872,5
1,2899,5
1,2916,4
1,2944,5
1,2947,5
1,2948,5
1,2949,5
1,2959,5
1,2985,4
1,2987,5
1,2991,5
1,2993,5
1,2997,4
1,3033,5
1,3034,5
1,3052,5
1,3053,5
1,3062,4
1,3147,5
1,3168,4
1,3176,1
1,3243,3
1,3247,3
1,3253,5
1,3273,5
1,3386,5
1,3439,4
1,3440,4
1,3441,5
1,3448,5
1,3450,5
1,3479,4
1,3489,4
1,3527,4
1,3578,5
1,3617,4
1,3639,4
1,3671,5
1,3702,5
1,3703,5
1,3729,5
1,3740,4
1,3744,4
1,3793,5
1,3809,4
1,4006,4
1,5060,5
2,318,3
2,333,4
2,1704,5
2,3578,4
2,6874,4
2,8798,4
3,31,1
3,527,1
3,647,1
3,688,1
3,720,1
3,849,5
3,914,1
3,1093,1
3,1124,1
3,1263,1
3,1272,1
3,1275,4
3,1302,1
3,1371,3
3,1587,5
3,2018,1
3,2080,1
3,2090,1
3,2105,2
3,2288,4
3,2424,1
3,2851,5
3,3024,5
3,3210,1
3,3703,5
3,3949,1
3,4518,5
3,5048,1
3,5181,5
3,5746,5
3,5764,5
3,5919,5
3,6238,1
3,6835,5
3,7899,5
3,7991,5
3,26409,5
4,21,3
4,32,2
4,45,3
4,47,2
4,52,3
4,58,3
4,106,4
4,125,5
4,126,1
4,162,5
4,171,3
4,176,5
4,190,2
4,215,5
4,222,1
4,232,5
4,235,2
4,247,3
4,260,5
4,265,5
4,296,1
4,319,5
4,342,5
4,345,4
4,348,4
4,351,3
4,357,3
4,368,4
4,417,2
4,441,1
4,450,2
4,457,5
4,475,5
4,492,5
4,509,1
4,538,5
4,539,1
4,553,2
4,588,4
4,593,5
4,595,3
4,599,2
4,608,5
4,648,3
4,708,4
4,759,3
4,800,4
4,892,4
4,898,5
4,899,4
4,902,4
4,904,4
4,908,5
4,910,5
4,912,5
4,914,5
4,919,5
4,920,5
4,930,5
4,937,3
4,1025,4
4,1046,5
4,1057,3
4,1060,2
4,1073,4
4,1077,5
4,1079,2
4,1080,5
4,1084,5
4,1086,5
4,1094,3
4,1103,5
4,1136,5
4,1179,4
4,1183,1
4,1188,5
4,1196,5
4,1197,5
4,1198,3
4,1199,2
4,1203,5
4,1211,1
4,1213,4
4,1219,4
4,1225,4
4,1250,5
4,1259,4
4,1265,4
4,1266,4
4,1279,2
4,1282,5
4,1283,5
4,1288,4
4,1291,4
4,1304,3
4,1391,1
4,1449,5
4,1466,4
4,1500,4
4,1517,4
4,1580,3
4,1597,1
4,1617,2
